Model,Dataset,Train_Size,Seed,Best_Epoch,Train_F1,Val_Loss,Val_Acc,Val_F1,Overfit_Gap,Test_Acc,Test_F1,Maj_Baseline_Acc,Rand_Baseline_F1
QNLP,sst2,250,2026,73,0.9030100334448161,1.3143820785193077,0.6,0.5238095238095237,0.3792005096352924,0.43,0.45,0.59,0.5412844036697249
QNLP,synthetic,10,2026,90,1.0,0.3634532481990755,0.86,0.8852459016393442,0.11475409836065575,0.85,0.88,0.57,0.5327102803738318
QNLP,sst2,10,100,3,0.8333333333333333,1.2888135086093098,0.58,0.5116279069767441,0.32170542635658916,0.52,0.57,0.6,0.5454545454545454
QNLP,bach,50,42,44,0.7200000000000001,0.9176641611009836,0.56,0.45000000000000007,0.27,0.61,0.47,0.51,0.494949494949495
QNLP,bach,100,2026,64,0.7610619469026549,0.5606021221727133,0.7,0.7368421052631577,0.024219841639497197,0.47,0.62,0.51,0.494949494949495
QNLP,bach,10,2026,5,0.6,1.037306621216121,0.5,0.13793103448275862,0.46206896551724136,0.63,0.57,0.52,0.5098039215686274
QNLP,sst2,500,42,5,0.7128309572301426,1.3223267783614574,0.26,0.17777777777777776,0.5350531794523647,0.53,0.53,0.62,0.5535714285714285
QNLP,synthetic,100,100,30,1.0,3.892353405809956e-08,1.0,1.0,0.0,1.0,1.0,0.53,0.5145631067961165
QNLP,bach,50,42,83,0.711864406779661,0.6503059200942516,0.64,0.689655172413793,0.02220923436586797,0.5,0.63,0.51,0.494949494949495
QNLP,synthetic,250,2026,42,1.0,1.8056798305465805e-08,1.0,1.0,0.0,1.0,1.0,0.56,0.46808510638297873
QNLP,sst2,100,42,5,0.8108108108108109,1.123569697654093,0.46,0.425531914893617,0.38527889591719383,0.52,0.54,0.54,0.5192307692307693
QNLP,synthetic,250,100,89,1.0,0.00011518274423451658,1.0,1.0,0.0,1.0,1.0,0.55,0.4736842105263158
QNLP,sst2,100,42,1,0.5740740740740741,0.773562036100775,0.44,0.5172413793103449,0.05683269476372921,0.54,0.67,0.54,0.5192307692307693
QNLP,sst2,500,2026,38,0.907142857142857,1.071129823996871,0.52,0.5,0.40714285714285703,0.57,0.55,0.52,0.5098039215686274
QNLP,synthetic,100,100,73,0.9090909090909091,0.300321751460433,1.0,1.0,-0.09090909090909094,1.0,1.0,0.53,0.5145631067961165
QNLP,sst2,50,100,13,0.983050847457627,0.7426898702140897,0.56,0.6206896551724138,0.36236119228521324,0.56,0.63,0.51,0.504950495049505
QNLP,sst2,50,2026,33,1.0,1.4664903973617767,0.54,0.5818181818181818,0.4181818181818182,0.51,0.54,0.65,0.5652173913043479
QNLP,sst2,10,2026,4,0.75,0.7687223809957504,0.56,0.6451612903225806,0.10483870967741937,0.7,0.81,0.7,0.5833333333333334
QNLP,sst2,10,42,62,1.0,1.734544482624824,0.4,0.42307692307692313,0.5769230769230769,0.56,0.62,0.61,0.5495495495495496
QNLP,sst2,500,42,100,0.9143835616438356,0.7021244118362665,0.56,0.5925925925925926,0.32179096905124305,0.56,0.67,0.62,0.5535714285714285
QNLP,synthetic,50,42,7,1.0,0.003493591784645105,1.0,1.0,0.0,1.0,1.0,0.57,0.5327102803738318
QNLP,bach,50,2026,19,0.6250000000000001,0.5934378153691068,0.74,0.6666666666666667,-0.04166666666666663,0.67,0.62,0.51,0.504950495049505
QNLP,bach,10,42,13,1.0,0.6054423547163605,0.54,0.6101694915254238,0.38983050847457623,0.56,0.69,0.52,0.5098039215686274
QNLP,synthetic,500,42,73,1.0,0.0034722611817414872,1.0,1.0,0.0,1.0,1.0,0.56,0.5283018867924528
QNLP,synthetic,10,2026,25,0.8571428571428571,0.7139143927395344,0.62,0.6666666666666666,0.19047619047619047,0.54,0.66,0.57,0.5327102803738318
QNLP,synthetic,50,100,51,0.972972972972973,0.3524411764740944,0.98,0.9777777777777777,-0.004804804804804719,1.0,1.0,0.56,0.5283018867924528
QNLP,synthetic,50,100,46,1.0,1.94241908246795e-08,1.0,1.0,0.0,1.0,1.0,0.56,0.5283018867924528
