model,vocab_size,seq_len,n_tokens,n_layers,n_params,n_qubits,time_per_step_s
LSTM,50,3,3,-,7105,-,0.001168
LSTM,100,3,3,-,7905,-,0.00117
LSTM,200,3,3,-,9505,-,0.001179
LSTM,500,3,3,-,14305,-,0.001202
LSTM,50,5,5,-,7105,-,0.001181
LSTM,100,5,5,-,7905,-,0.00119
LSTM,200,5,5,-,9505,-,0.001187
QNLP,-,2,2,1,7,5,0.008058
QNLP,-,2,2,2,11,5,0.010093
QNLP,-,3,3,1,9,7,0.010619
QNLP,-,3,3,2,15,7,0.014257
QNLP,-,4,4,1,11,9,0.013534
QNLP,-,4,4,2,19,9,0.018703
QNLP,-,5,5,1,13,11,0.017144
QNLP,-,5,5,2,23,11,0.02387
QNLP,-,6,6,1,15,13,0.024251
QNLP,-,6,6,2,27,13,0.034107
